"ID","SEX","AGE.START.MONTHS","AGE.CLASS.START","CATEGORY.START","AGE.DEATH.MONTHS","CENSUS.STATUS","AGE.CLASS.DEATH","CATEGORY.DEATH"
73,"MALE",3,"CUB","CUB",17,0,"JUVENILE","JUVENILE"
74,"FEMALE",3,"CUB","CUB",17,0,"JUVENILE","JUVENILE"
75,"MALE",7,"CUB","CUB",30,0,"SUBADULT","MALE_SUBADULT"
76,"MALE",7,"CUB","CUB",29,0,"SUBADULT","MALE_SUBADULT"
77,"MALE",7,"CUB","CUB",25,1,"SUBADULT","MALE_SUBADULT"
78,"MALE",7,"CUB","CUB",7,0,"CUB","CUB"
79,"MALE",29,"SUBADULT","MALE_SUBADULT",29,0,"SUBADULT","MALE_SUBADULT"
80,NA,2,"CUB","CUB",2,1,"CUB","CUB"
81,NA,2,"CUB","CUB",3,1,"CUB","CUB"
82,NA,2,"CUB","CUB",3,1,"CUB","CUB"
83,"MALE",3,"CUB","CUB",36,0,"SUBADULT","MALE_SUBADULT"
84,NA,3,"CUB","CUB",4,1,"CUB","CUB"
85,"MALE",5,"CUB","CUB",6,1,"CUB","CUB"
86,"MALE",24,"JUVENILE","JUVENILE",32,1,"SUBADULT","MALE_SUBADULT"
87,"MALE",24,"JUVENILE","JUVENILE",24,1,"JUVENILE","JUVENILE"
88,"MALE",4,"CUB","CUB",21,1,"JUVENILE","JUVENILE"
89,"MALE",4,"CUB","CUB",29,1,"SUBADULT","MALE_SUBADULT"
90,"FEMALE",3,"CUB","CUB",6,1,"CUB","CUB"
91,NA,0,"CUB","CUB",0,1,"CUB","CUB"
92,NA,0,"CUB","CUB",0,1,"CUB","CUB"
93,"MALE",36,"SUBADULT","MALE_SUBADULT",56,0,"ADULT","MALE_ADULT"
94,NA,1,"CUB","CUB",11,0,"CUB","CUB"
95,NA,1,"CUB","CUB",10,0,"CUB","CUB"
96,"MALE",3,"CUB","CUB",8,0,"CUB","CUB"
97,"FEMALE",3,"CUB","CUB",4,1,"CUB","CUB"
98,"MALE",21,"JUVENILE","JUVENILE",25,0,"SUBADULT","MALE_SUBADULT"
99,"MALE",24,"JUVENILE","JUVENILE",39,0,"ADULT","MALE_ADULT"
100,"MALE",29,"SUBADULT","MALE_SUBADULT",34,0,"SUBADULT","MALE_SUBADULT"
101,NA,2,"CUB","CUB",7,1,"CUB","CUB"
102,NA,2,"CUB","CUB",7,1,"CUB","CUB"
103,"MALE",36,"SUBADULT","MALE_SUBADULT",40,0,"ADULT","MALE_ADULT"
104,NA,2,"CUB","CUB",5,1,"CUB","CUB"
105,NA,2,"CUB","CUB",5,1,"CUB","CUB"
106,NA,2,"CUB","CUB",5,1,"CUB","CUB"
