"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
223,"Vomba","2009/12/01",NA,NA,NA,0,144,"ADULT_84","1997/12/01",8,"CERTAIN"
224,"Vomba","2011/01/01",NA,NA,NA,0,157,"ADULT_84","1997/12/01",9,"CERTAIN"
225,"Vomba","2012/06/01",1,1,NA,1,174,"ADULT_84","1997/12/01",10,"CERTAIN"
226,"White_Cloth","1997/07/01",1,1,NA,1,46,"ADULT_36_48","1993/09/01",1,"CERTAIN"
227,"White_Cloth","2000/10/01",2,1,1,2,85,"ADULT_84","1993/09/01",2,"CERTAIN"
228,"White_Cloth","2003/04/01",2,1,1,1,115,"ADULT_84","1993/09/01",3,"CERTAIN"
229,"White_Cloth","2005/12/01",2,1,1,0,147,"ADULT_84","1993/09/01",4,"CERTAIN"
230,"White_Cloth","2008/12/01",1,1,NA,1,183,"ADULT_84","1993/09/01",5,"CERTAIN"
231,"White_Dam","2012/05/01",2,NA,NA,0,71,"ADULT_60_72","2006/06/01",1,"UNCERTAIN"
232,"White_Dam","2013/02/01",1,NA,NA,0,80,"ADULT_72_84","2006/06/01",2,"UNCERTAIN"
233,"White_Dam","2014/01/01",NA,NA,NA,0,91,"ADULT_84","2006/06/01",3,"UNCERTAIN"
234,"White_Dam","01/12/2014",2,NA,NA,NA,102,"ADULT_84","2006/06/01",4,"UNCERTAIN"
235,"Wilson's_Pan","01/06/2006",1,NA,1,1,48,"ADULT_36_48","2002/06/01",1,"UNCERTAIN"
236,"Wilson's_Pan","01/06/2008",NA,NA,NA,0,72,"ADULT_60_72","2002/06/01",2,"UNCERTAIN"
237,"Wilson's_Pan","01/01/2009",2,NA,2,2,79,"ADULT_72_84","2002/06/01",3,"UNCERTAIN"
238,"Wilson's_Pan","01/06/2010",1,1,NA,1,96,"ADULT_84","2002/06/01",4,"UNCERTAIN"
239,"Wilson's_Pan","2012/02/01",2,1,1,2,116,"ADULT_84","2002/06/01",5,"UNCERTAIN"
240,"Wilson's_Pan","01/12/2013",NA,NA,NA,0,138,"ADULT_84","2002/06/01",6,"UNCERTAIN"
241,"Wilson's_Pan","01/02/2015",NA,NA,NA,NA,152,"ADULT_84","2002/06/01",7,"UNCERTAIN"
242,"Xikavi","2010/03/01",NA,NA,NA,0,54,"ADULT_48_60","2005/09/01",1,"CERTAIN"
243,"Xikavi","2011/05/01",1,NA,NA,0,68,"ADULT_60_72","2005/09/01",2,"CERTAIN"
244,"Xikavi","2012/01/01",NA,NA,NA,0,76,"ADULT_72_84","2005/09/01",3,"CERTAIN"
245,"Xikavi","2013/09/01",2,NA,NA,0,96,"ADULT_84","2005/09/01",4,"CERTAIN"
246,"Xikavi","2014/05/01",NA,NA,NA,0,104,"ADULT_84","2005/09/01",5,"CERTAIN"
247,"Xikavi","2014/10/01",3,NA,NA,0,109,"ADULT_84","2005/09/01",6,"CERTAIN"
