"ID","MOTHER.ID","CUB.D.O.B","NUMBER.CUBS","MALE","FEMALE","NUMBER.INDEP","MOTHER.AGE.MONTHS","MOTHER.AGE.CLASS","MOTHER.D.O.B","LITTER.NUMBER","CERTAINTY"
144,"Ravenscourt","2007/12/01",2,1,1,1,72,"ADULT_60_72","2001/12/01",3,"CERTAIN"
145,"Ravenscourt","2009/04/01",2,2,NA,1,88,"ADULT_84","2001/12/01",4,"CERTAIN"
146,"Ravenscourt","2011/01/01",3,2,1,0,109,"ADULT_84","2001/12/01",5,"CERTAIN"
147,"Ravenscourt","2012/02/01",3,2,NA,1,122,"ADULT_84","2001/12/01",6,"CERTAIN"
148,"Rollercoaster","2006/05/01",1,NA,1,1,47,"ADULT_36_48","2002/06/01",1,"UNCERTAIN"
149,"Rollercoaster","2008/12/01",2,1,NA,1,78,"ADULT_72_84","2002/06/01",2,"UNCERTAIN"
150,"Rollercoaster","2011/04/01",1,1,NA,1,106,"ADULT_84","2002/06/01",3,"UNCERTAIN"
151,"Rollercoaster","2012/12/01",1,NA,1,1,126,"ADULT_84","2002/06/01",4,"UNCERTAIN"
152,"Safari","1997/10/01",2,2,NA,2,55,"ADULT_48_60","1993/03/01",1,"UNCERTAIN"
153,"Safari","2000/02/01",2,NA,NA,0,83,"ADULT_72_84","1993/03/01",2,"UNCERTAIN"
154,"Safari","2001/01/01",2,2,NA,2,94,"ADULT_84","1993/03/01",3,"UNCERTAIN"
155,"Safari","2004/03/01",2,NA,2,2,132,"ADULT_84","1993/03/01",4,"UNCERTAIN"
156,"Safari","2005/12/01",2,1,1,1,153,"ADULT_84","1993/03/01",5,"UNCERTAIN"
157,"Safari","2008/12/01",NA,NA,NA,0,189,"ADULT_84","1993/03/01",6,"UNCERTAIN"
158,"Salayexe","2008/10/01",2,NA,NA,0,42,"ADULT_36_48","2005/04/01",1,"CERTAIN"
159,"Salayexe","2009/04/01",2,1,1,2,48,"ADULT_36_48","2005/04/01",2,"CERTAIN"
160,"Salayexe","2011/02/01",2,NA,NA,0,70,"ADULT_60_72","2005/04/01",3,"CERTAIN"
161,"Salayexe","2011/11/01",NA,NA,NA,0,79,"ADULT_72_84","2005/04/01",4,"CERTAIN"
162,"Salayexe","2012/06/01",2,NA,1,0,86,"ADULT_84","2005/04/01",5,"CERTAIN"
163,"Salayexe","2014/03/01",2,NA,NA,0,107,"ADULT_84","2005/04/01",6,"CERTAIN"
164,"Salayexe","2014/11/01",1,NA,NA,0,115,"ADULT_84","2005/04/01",7,"CERTAIN"
165,"Sand_River","1989/07/01",NA,NA,NA,0,45,"ADULT_36_48","1985/10/01",1,"CERTAIN"
166,"Sand_River","1990/04/01",2,NA,1,1,54,"ADULT_48_60","1985/10/01",2,"CERTAIN"
167,"Saseka","2000/06/01",2,2,NA,2,36,"SUBADULT","1997/06/01",1,"UNCERTAIN"
